method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,heating_residual_x,n_y,n_y_sem,heating_residual_y,n_z,n_z_sem,heating_residual_z,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor,benchmark_status,bptt_duration,bptt_forward_seconds,backward_seconds,bptt_total_seconds,bptt_finite,peak_process_rss_bytes,peak_cuda_allocated_bytes
platen,2,0.005,no_feedback,1.0,float64,ok,,600,3.0,0.0887560547562316,1.104376208037138,18.50750516996954,4.199453309756235,0,0,0,5.1337570325808635,0.19985443312730716,-0.01624296741913689,5.157025012021868,0.1360047397823634,0.0070250120218675605,5.254588715288908,0.2544842814684327,0.10458871528890779,3.0,0.06410396027876977,0.1113605821804165,0.006209977762674227,0.023897380998910478,0.023897380998910478,0.023885427116196567,0.023534427907752613,0.03135328838518618,0.007922461148821612,0.031047061213159192,0.006935752412596919,0.0008852911007603116,0.0009583746168999718,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
platen,4,0.0025,no_feedback,1.0,float64,ok,,1200,3.0,0.17229284450877458,1.2307334169745445,18.50772937846698,4.199317550567449,0,0,0,5.109309221161132,0.19866351730175286,-0.040690778838868624,5.13378744009424,0.13321161478445465,-0.016212559905760315,5.254033986420037,0.2549244629829969,0.10403398642003658,3.0,0.022385171832089025,0.0335027881488556,0.0015326795138001581,0.005844573301678792,0.005770774750172514,0.005747865491597004,0.005844573301678792,0.006905476965453707,0.002566172853545189,0.007809489285530832,0.0019200202064226784,0.0003305622318885504,0.000673306793566549,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
platen,8,0.00125,no_feedback,1.0,float64,ok,,2400,3.0,0.3334330426296219,1.4323721250984818,18.507777332773447,4.1992835820082846,0,0,0,5.104209069642572,0.1995765847016909,-0.04579093035742865,5.127298944882021,0.13249035921212043,-0.022701055117979152,5.25354393382545,0.25502190811951264,0.10354393382545002,3.0,0.009510865324780455,0.012774178297941634,0.00038147158059574697,0.0014539705668778768,0.0014289747781006668,0.0014221152620486066,0.0014539705668778768,0.0018053254468943626,0.0014162798415026023,0.0013209940733127645,0.0013144880507900047,-0.00015949036269721547,0.00036170108684759154,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
platen,16,0.000625,no_feedback,1.0,float64,ok,,4800,3.0,0.661357733537443,1.8805305829737335,18.507787816533504,4.199275086729145,0,0,0,5.102544484382198,0.19925786146548904,-0.047455515617802035,5.125833250421264,0.13258993552655984,-0.024166749578736102,5.253548531061206,0.2549886235543723,0.10354853106120565,3.0,0.004508185549074543,0.005559383651610905,9.422796336891843e-05,0.00035911220146474937,0.00035327200960111327,0.00035155878672110674,0.00035911220146474937,0.00014074018652122648,0.000575318475183948,-0.00014470038744495814,0.0005731956813905217,-0.00015489312694117355,0.00016313842926337114,candidate,True,0.0004899020609777565,4.273226786213891e-06,True,,,,,,,,
platen,32,0.0003125,no_feedback,1.0,float64,ok,,9600,3.0,1.3228917347732931,2.7991960829822347,18.507788620967034,4.199272962546712,0,0,0,5.1023270868510044,0.19924310481649285,-0.04767291314899591,5.125942487791947,0.13255878784654312,-0.024057512208053744,5.253668086012172,0.25500109303100027,0.10366808601217148,3.0,0.002196615757801122,0.002670981351942212,2.2433399645696887e-05,8.548690508781293e-05,8.420258061914154e-05,8.380075119251984e-05,8.548690508781293e-05,-7.665734467257827e-05,0.0003353035263344934,-3.5463016762770014e-05,0.0003389475793143567,-3.5338175977025486e-05,8.543093115479464e-05,candidate,True,0.0004899020609777565,4.273226786213891e-06,False,,,,,,,,
platen,64,0.00015625,no_feedback,1.0,float64,ok,,19200,3.0,2.65157561970409,4.682499666931108,18.507786652925475,4.19927243145765,0,0,0,5.102503413271191,0.19933558328718137,-0.0474965867288093,5.125878371598986,0.13266176837712404,-0.02412162840101395,5.253655131660923,0.2550031813853003,0.10365513166092288,3.0,0.000981081199423834,0.0012342202506056667,4.486436994831638e-06,1.7094925316561704e-05,1.685131044482091e-05,1.6771902116019533e-05,1.7094925316561704e-05,9.966907551314355e-05,0.00012094084012739256,-9.957920972267666e-05,0.00015341006086467412,-4.829252722580391e-05,3.528874399627099e-05,candidate,True,0.0004899020609777565,4.273226786213891e-06,False,,,,,,,,
platen,128,7.8125e-05,modulation_minus,1.0,float64,ok,,38400,3.0,5.2881261019501835,8.326439915923402,19.640353117120654,4.0511515104282765,0,0,0,4.847015612779462,0.19632027184451978,,5.111097592318346,0.10259557502794384,,5.238460077384085,0.25824214742685336,,3.0,0.00045993534972473254,0.0005806186241958409,3.903099356949786e-06,1.76488078666992e-05,1.76488078666992e-05,1.5877082833348766e-05,1.674665723446281e-05,2.7727266196819752e-05,5.862312085660585e-05,-5.5939342647723936e-05,3.58713632554164e-05,-3.0545064648668234e-05,1.85633745217087e-05,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,modulation_minus,1.0,float64,ok,,76800,3.0,10.615336604067124,15.712340291007422,19.640352875130336,4.051151481956822,0,0,0,4.8469878855132675,0.19633408876463793,,5.111153531660994,0.10259499900046673,,5.238490622448733,0.25824830921489406,,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
euler_maruyama,1,0.01,modulation_minus,1.0,float64,nonfinite,0.36000000000000004,89,0.88,0.006815208122134209,0.29489654197823256,-2.4948003869184e+291,-inf,80,9840,12400,-1.6731898568487403e+154,inf,,23.063286715580816,4.998778307281649,,5.2497164971842905,0.13305837260290485,,0.88,2.5430041584145844e+76,2.399065324922467e+77,inf,2.0612890128313187e+156,2.0612890128313187e+156,3.288512032405534e+150,2.603569419270613e+153,-1.6731898568487403e+154,inf,18.063898333504927,4.989858799725347,0.08739013920787699,0.006303572592755503,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
euler_maruyama,2,0.005,modulation_minus,1.0,float64,nonfinite,0.7100000000000001,300,1.49,0.02151266299188137,0.5156822500284761,-4.048662947482829e+16,-inf,80,22480,30000,-2.336668264393685e+79,1.5149713686055148e+80,,9.029018381962128,0.6163848574335588,,5.3075060508209795,0.1746224194968237,,1.49,2.249935916934614e+39,2.7555974752254014e+40,2.676755613852279e+80,2.047303066831014e+82,2.7742553209744124e+81,2.047303066831014e+82,7.536405925109908e+81,-2.336668264393685e+79,1.5149713686055148e+80,4.0547715214878375,0.5403956707434381,0.11205587468939501,0.008910098560287322,candidate,True,0.00045993534972473254,1.76488078666992e-05,True,,,,,,,,
