method,substeps,dt,scenario,delta,dtype,status,first_failure_time,completed_steps,completed_time,forward_seconds,diagnostic_wall_seconds,min_determinant,min_variance,nonfinite_modes,nonpositive_diagonals,uncertainty_violations,n_x,n_x_sem,heating_residual_x,n_y,n_y_sem,heating_residual_y,n_z,n_z_sem,heating_residual_z,comparison_time,trajectory_mean_rms,terminal_mean_rms,covariance_rms,covariance_max_abs,Vxx_max_abs,Vpp_max_abs,Cxp_max_abs,paired_n_x,paired_n_x_sem,paired_n_y,paired_n_y_sem,paired_n_z,paired_n_z_sem,role,reference_valid,reference_trajectory_mean_rms,reference_covariance_max_abs,trajectory_error_above_reference_floor,benchmark_status,bptt_duration,bptt_forward_seconds,backward_seconds,bptt_total_seconds,bptt_finite,peak_process_rss_bytes,peak_cuda_allocated_bytes
platen,16,0.000625,seeded_policy,0.1,float64,ok,,32000,20.0,38.38924429702456,259.68781942900387,2.3889307529479993,1.327923865079996,0,0,0,6.094936224479096,0.07174522139529318,,6.0966875548590735,0.08465647861697095,,6.064625674008576,0.07469691008378551,,20.0,0.0023905001490502407,0.0027185735691523404,7.897806322316362e-05,0.0008007922138650869,0.0008007922138650869,0.0007718461985222191,0.0006370180271237924,5.319562714302151e-05,0.00010510652404221135,-5.852816322149339e-05,9.242570267202718e-05,4.113130085535652e-05,2.248028109959859e-05,candidate,True,0.0002588213516402088,8.315966336791547e-05,True,ok,0.1,0.5424970019957982,0.6440589780104347,1.1865559800062329,True,3688402944,
platen,32,0.0003125,seeded_policy,0.1,float64,ok,,64000,20.0,72.06782262292108,305.66916031899746,2.3889292592332168,1.327865871394081,0,0,0,6.095004164823061,0.07173915947480873,,6.096730805644404,0.0846577482603781,,6.064600796603539,0.0746969764522105,,20.0,0.001165178777361267,0.0013132433858626504,3.827618654841409e-05,0.00040057312554786506,0.00037107262316116163,0.00040057312554786506,0.00033398645854490483,0.00012113597111131597,4.892480416532023e-05,-1.5277377886497013e-05,4.3093482223198495e-05,1.6253895814523074e-05,1.1228232454548332e-05,candidate,True,0.0002588213516402088,8.315966336791547e-05,False,ok,0.1,1.066634194983635,1.3268059740075842,2.3934401689912193,True,3695767552,
platen,64,0.00015625,seeded_policy,0.1,float64,ok,,128000,20.0,139.20892694039503,398.52635098501923,2.388928199059999,1.3278539572684687,0,0,0,6.094925087608147,0.07173691436656063,,6.096744098760899,0.08466341292334938,,6.064581172337948,0.07469612694914327,,20.0,0.0005176979008561247,0.0005822113341598022,1.699200511476963e-05,0.00019498331284939496,0.00019498331284939496,0.00018624729074367963,0.00015537722701630674,4.205875619382472e-05,2.3753759747789486e-05,-1.9842613933277897e-06,1.957050305998051e-05,-3.370369768187758e-06,4.902448515989792e-06,candidate,True,0.0002588213516402088,8.315966336791547e-05,False,ok,0.1,2.0959817559923977,2.6762101240165066,4.772191880008904,True,3891425280,
platen,128,7.8125e-05,no_feedback,1.0,float64,ok,,256000,20.0,175.1184327864903,493.36323735199403,2.4008795773507923,1.5407779276573998,0,0,0,5.970176465764749,0.07369998916203198,-0.02982353423525108,5.95315279900919,0.0755881926632684,-0.0468472009908103,5.956016868793657,0.07611407828313421,-0.04398313120634256,20.0,0.0006997852192105235,0.0007946642993863875,7.035354365611176e-07,4.273226786213891e-06,4.214657982615222e-06,4.194986826355773e-06,4.273226786213891e-06,1.8360322099436133e-05,3.116764874882e-05,-3.0173481306622664e-05,2.581424211882586e-05,7.2057265566068e-06,6.591432666512693e-06,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,no_feedback,1.0,float64,ok,,512000,20.0,348.55566322925733,780.0367021599959,2.400879576561712,1.540777926336828,0,0,0,5.970158105442645,0.07370471617123478,-0.029841894557354642,5.953182972490494,0.07558696479367537,-0.04681702750950567,5.956009663067104,0.07611370601664548,-0.04399033693289578,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
euler_maruyama,1,0.01,no_feedback,1.0,float64,nonfinite,0.5,102,1.01,0.06570842099608853,11.190426091023255,-139515142340608.0,,1280,151040,177920,7.60912978397447e+277,,7.60912978397447e+277,19.87099323952093,1.3655399727918542,14.820493239520932,5.172871724710887,0.024829498268714726,0.1223717247108862,1.01,2.395021500545729e+138,2.418853147224494e+139,,1.2698001776469638e+280,1.2698001776469638e+280,3.3327239102489914e+279,6.50530046445393e+279,7.60912978397447e+277,,14.818054395342013,1.3605345291618898,0.12859170056828115,0.0020943711416017145,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,2,0.005,no_feedback,1.0,float64,nonfinite,0.9600000000000001,334,1.6600000000000001,0.16961829620413482,18.54331620200537,-5.2169698083459826e+19,,1280,281600,364800,-4.68497567553328e+110,1.2447904940702095e+111,-4.68497567553328e+110,14.181829494216764,0.2447173217726916,9.098829494216764,5.214878085370293,0.03604738022360928,0.13187808537029255,1.6600000000000001,1.1336664256775624e+55,1.4650198882824976e+56,7.155706572478077e+111,5.8107309992940125e+113,5.8107309992940125e+113,7.218183334064398e+112,2.047997110784959e+113,-4.68497567553328e+110,1.2447904940702095e+111,9.097961733947473,0.22985098712116256,0.1493235559896769,0.0024770318345612263,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,4,0.0025,no_feedback,1.0,float64,nonfinite,2.0175,1306,3.2600000000000002,0.5703462691453751,36.82768495398341,-7.547924849643083e+168,,1280,835840,1111040,-1.868805987107563e+89,1.033103689597257e+90,-1.868805987107563e+89,18.42684105964217,0.3047057119082969,13.263841059642171,5.38944515550421,0.050411316417572336,0.22644515550420952,3.2600000000000002,2.3465490470439965e+44,4.243297803206687e+45,3.963090049317468e+90,3.680805040272651e+92,3.680805040272651e+92,1.758243953479109e+92,2.5439640732515892e+92,-1.868805987107563e+89,1.033103689597257e+90,13.287612870796673,0.2801344267740956,0.22052869703203548,0.0036586544589240657,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,8,0.00125,no_feedback,1.0,float64,nonfinite,4.4325,5395,6.74,2.1766166659945156,77.59104283197667,-3.4140233896344854e+243,,1280,2752000,3733760,-2.0879902335348538e+64,2.201896281905489e+64,-2.0879902335348538e+64,27.07828100986091,0.4905969671521149,21.74128100986091,5.648620474518944,0.06367532495852901,0.3116204745189446,6.74,2.328499816487514e+31,6.04961998135677e+32,6.108710117383548e+64,9.68975106299082e+66,9.68975106299082e+66,1.707217559365477e+66,4.067248844196557e+66,-2.0879902335348538e+64,2.201896281905489e+64,21.757297612385265,0.46026754985148294,0.32018490389608223,0.005437062735034223,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,16,0.000625,no_feedback,1.0,float64,nonfinite,10.2225,23758,14.84,9.003954107814934,179.48977755499072,-413559351672832.0,,1280,8945920,13758720,62.754825997718484,11.422070611620855,57.01282599771849,46.22566331715195,0.9250716517816758,40.48366331715195,6.158787782911537,0.07653043926434804,0.41678778291153673,14.84,3.2929946769540934,15.321342428137298,23.179431782493474,5823.89868684718,5823.89868684718,268.5933204484813,205.46737385800424,57.08996370515045,11.414950084379248,40.525091417966316,0.8887015030403266,0.46114849113594497,0.0077594171108431925,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,32,0.0003125,no_feedback,1.0,float64,ok,,64000,20.0,23.65526483312715,267.5295952470042,2.3120536586830647,1.2839905701077625,0,0,0,30.406084130561318,0.5821460342528402,24.406084130561318,21.00186390236395,0.35280520170688223,15.00186390236395,6.28367300142662,0.08069185776390947,0.28367300142662,20.0,1.7069571715938694,3.6333776466948966,0.021807178173370495,0.265019498957888,0.265019498957888,0.2617856905871221,0.25271726306844816,24.43590766479658,0.5320130285315892,15.048711103354744,0.30152689772482627,0.32765613263295906,0.0055311651758630865,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
euler_maruyama,64,0.00015625,no_feedback,1.0,float64,ok,,128000,20.0,44.250993153837044,315.97102983802324,2.4006139791993526,1.5385309075049496,0,0,0,11.645329690461642,0.1717237038987719,5.645329690461642,10.122215322012405,0.14001592015439387,4.122215322012405,6.11584983934853,0.07833009580875146,0.1158498393485301,20.0,0.6505026507041856,1.274863543418198,0.0030237232849910306,0.011686258785210235,0.011663879769186813,0.011686258785210235,0.011502765848248293,5.675153224696896,0.11085944533271529,4.1690625230032206,0.0761053581719671,0.15983297055486984,0.0026866763147479155,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,1,0.01,no_feedback,1.0,float64,covariance_failure,14.65,2000,20.0,2.202380181348417,219.7610410169873,-317.33510613510185,-32.75155587835772,0,482560,686080,9.113209013051504,0.1686620633724029,3.113209013051504,7.714753451281813,0.10235770740224315,1.7147534512818128,5.961498025263737,0.07630507716986339,-0.03850197473626338,20.0,2.1189967323020835,3.681705940425804,0.7114218210349069,34.301658225889376,30.55211236402735,34.301658225889376,20.731726977309236,3.1430325472867575,0.1366218163654355,1.7616006522726206,0.05320935182192929,0.005481156470079463,0.0011891996016201924,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,2,0.005,no_feedback,1.0,float64,ok,,4000,20.0,3.8766539395437576,223.65402745400206,2.4008716528410847,1.5407851289710461,0,0,0,6.2087904794505775,0.0781306487031639,0.2087904794505775,6.116507358819098,0.07843552906176875,0.11650735881909835,5.9565502611913645,0.07613273296541749,-0.04344973880863545,20.0,0.55495457057819,1.0071199294314388,0.003688107863123339,0.023897380998910478,0.023897380998910478,0.023885427116196567,0.023534427907752613,0.23861401368583077,0.014312639799080231,0.16335455980990507,0.00980503381148968,0.000533392397700479,0.0005225907821801982,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,4,0.0025,no_feedback,1.0,float64,ok,,8000,20.0,6.832951960823266,227.91973970699473,2.4008795991465663,1.5407797278405333,0,0,0,5.997975310349889,0.07428551904501404,-0.0020246896501108225,5.9724138337587105,0.0759390521503977,-0.02758616624128951,5.956108106529831,0.07608675214299053,-0.04389189347016931,20.0,0.1396348099991425,0.25184323750390547,0.0009588475518243551,0.005844573301678792,0.005770774750172514,0.005747865491597004,0.005844573301678792,0.02779884458514822,0.0033410066116287304,0.019261034749522343,0.0024644857963666404,9.12377361714007e-05,0.00023764168902914553,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,8,0.00125,no_feedback,1.0,float64,ok,,16000,20.0,12.869359711650759,237.2732955760148,2.4008797558929853,1.5407783765223477,0,0,0,5.972805510525051,0.07375182131868697,-0.02719448947494918,5.955035277115999,0.07560081657140241,-0.044964722884000885,5.95599628495063,0.07610807479867347,-0.04400371504936995,20.0,0.03674156643557628,0.0641931779366944,0.0002392209699181928,0.0014539705668778768,0.0014289747781006668,0.0014221152620486066,0.0014539705668778768,0.0026290447603023195,0.0009770947651112855,0.001882478106809699,0.0006935608645025528,-2.0583843030697804e-05,0.00012556077767684616,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,16,0.000625,no_feedback,1.0,float64,ok,,32000,20.0,25.610837403102778,254.8082854039967,2.4008796336681235,1.54077803857007,0,0,0,5.97032061498716,0.07372574414485958,-0.029679385012840065,5.953240634179063,0.07558717858059293,-0.04675936582093687,5.955968374952105,0.07611543606486854,-0.04403162504789471,20.0,0.010664372724218435,0.017099489581311696,5.9098976307166624e-05,0.00035911220146474937,0.00035327200960111327,0.00035155878672110674,0.00035911220146474937,0.00014414922241037884,0.00033644170576321646,8.78351698698654e-05,0.00027177153296370667,-4.8493841553739826e-05,5.6427119152692724e-05,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,32,0.0003125,no_feedback,1.0,float64,ok,,64000,20.0,47.40632312573143,289.7592953479907,2.4008795920945305,1.5407779540671027,0,0,0,5.970275925180987,0.07370250396000178,-0.02972407481901307,5.953154118121949,0.07559673964925726,-0.04684588187805083,5.956008715263654,0.07611620562108738,-0.043991284736345726,20.0,0.0036828448174556767,0.0050279413331072624,1.4071230826605427e-05,8.548690508781293e-05,8.420258061914154e-05,8.380075119251984e-05,8.548690508781293e-05,9.945941624041767e-05,0.00013051376263300033,1.3191127588997316e-06,0.00012152534169307572,-8.153530009778587e-06,2.969550097005415e-05,candidate,True,0.0006997852192105235,4.273226786213891e-06,True,,,,,,,,
platen,64,0.00015625,no_feedback,1.0,float64,ok,,128000,20.0,89.22953472536756,353.8590580820164,2.40087958042709,1.5407779329395141,0,0,0,5.9703073185695885,0.07370232227443704,-0.029692681430411483,5.95311053394267,0.07558600891884633,-0.0468894660573298,5.9560132463119055,0.07611340987390797,-0.04398675368809446,20.0,0.0014588532178702448,0.0017367520237858349,2.814205308599603e-06,1.7094925316561704e-05,1.685131044482091e-05,1.6771902116019533e-05,1.7094925316561704e-05,0.00013085280484442032,5.628813547422613e-05,-4.226506651965193e-05,5.2246705332314284e-05,-3.6224817597347257e-06,1.3578578969271008e-05,candidate,True,0.0006997852192105235,4.273226786213891e-06,False,,,,,,,,
platen,128,7.8125e-05,modulation_minus,1.0,float64,ok,,256000,20.0,176.40112937957747,493.1922844290093,2.470355030281227,1.4888466187988418,0,0,0,6.044670854097452,0.06895868452967843,,5.943243858859078,0.06682809014738716,,5.923734551844678,0.07466224098459259,,20.0,0.0006538340020232389,0.0007394408692027937,2.516633625387934e-06,1.76488078666992e-05,1.76488078666992e-05,1.5877082833348766e-05,1.674665723446281e-05,2.8050949410078594e-05,2.663981627524297e-05,-1.1327423431652935e-05,2.543758200340375e-05,1.2256993117629646e-05,6.83151343841453e-06,reference_halving_check,,,,,,,,,,,,
platen,256,3.90625e-05,modulation_minus,1.0,float64,ok,,512000,20.0,346.90744261685177,774.734771642019,2.470355025664956,1.4888466978820798,0,0,0,6.04464280314805,0.068958531449892,,5.943255186282512,0.06682907510451948,,5.923722294851555,0.0746619539507557,,,,,,,,,,,,,,,,finer_reference,,,,,,,,,,,,
